,blue,green,red,px,fvfm
0,18,52,40,[18 52 40],758.0
1,30,92,71,[30 92 71],697.0
2,29,96,76,[29 96 76],697.0
3,29,100,78,[ 29 100  78],697.0
4,33,106,86,[ 33 106  86],697.0
5,32,109,90,[ 32 109  90],760.0
6,36,114,93,[ 36 114  93],762.0
7,33,113,89,[ 33 113  89],757.0
8,28,111,89,[ 28 111  89],790.0
9,25,107,89,[ 25 107  89],760.0
10,20,85,79,[20 85 79],787.0
11,29,113,96,[ 29 113  96],697.0
12,17,94,84,[17 94 84],697.0
13,28,89,84,[28 89 84],697.0
14,42,93,94,[42 93 94],697.0
15,8,29,26,[ 8 29 26],697.0
16,10,37,28,[10 37 28],787.0
17,18,76,61,[18 76 61],792.0
18,28,97,75,[28 97 75],786.0
19,28,103,81,[ 28 103  81],757.0
20,34,112,92,[ 34 112  92],800.0
21,32,115,93,[ 32 115  93],756.0
22,35,121,99,[ 35 121  99],788.0
23,35,124,100,[ 35 124 100],766.0
24,34,125,99,[ 34 125  99],782.0
25,32,122,97,[ 32 122  97],763.0
26,38,126,103,[ 38 126 103],765.0
27,41,129,107,[ 41 129 107],762.0
28,37,127,105,[ 37 127 105],766.0
29,38,129,107,[ 38 129 107],766.0
30,40,131,110,[ 40 131 110],778.0
31,33,124,103,[ 33 124 103],766.0
32,20,107,92,[ 20 107  92],778.0
33,19,103,91,[ 19 103  91],767.0
34,25,99,88,[25 99 88],771.0
35,15,76,69,[15 76 69],697.0
36,12,51,37,[12 51 37],756.0
37,11,58,41,[11 58 41],788.0
38,16,61,47,[16 61 47],755.0
39,18,66,51,[18 66 51],760.0
40,16,68,52,[16 68 52],781.0
41,15,70,55,[15 70 55],753.0
42,17,73,58,[17 73 58],779.0
43,13,62,48,[13 62 48],761.0
44,16,59,45,[16 59 45],697.0
45,16,61,50,[16 61 50],751.0
46,7,31,27,[ 7 31 27],697.0
47,17,62,51,[17 62 51],752.0
48,27,92,75,[27 92 75],760.0
49,28,105,86,[ 28 105  86],763.0
50,33,117,96,[ 33 117  96],777.0
51,40,127,105,[ 40 127 105],753.0
52,41,128,106,[ 41 128 106],771.0
53,42,129,108,[ 42 129 108],773.0
54,40,130,108,[ 40 130 108],765.0
55,30,118,99,[ 30 118  99],769.0
56,34,118,103,[ 34 118 103],775.0
57,41,124,110,[ 41 124 110],765.0
58,35,117,102,[ 35 117 102],760.0
59,33,115,97,[ 33 115  97],786.0
60,34,117,98,[ 34 117  98],771.0
61,36,123,102,[ 36 123 102],783.0
62,32,120,101,[ 32 120 101],777.0
63,30,120,101,[ 30 120 101],760.0
64,27,121,100,[ 27 121 100],797.0
65,33,126,104,[ 33 126 104],758.0
66,34,127,106,[ 34 127 106],785.0
67,35,127,105,[ 35 127 105],766.0
68,34,126,104,[ 34 126 104],780.0
69,38,129,107,[ 38 129 107],764.0
70,40,130,107,[ 40 130 107],766.0
71,41,131,109,[ 41 131 109],763.0
72,42,131,111,[ 42 131 111],773.0
73,39,129,109,[ 39 129 109],774.0
74,38,130,109,[ 38 130 109],781.0
75,35,126,106,[ 35 126 106],767.0
76,29,121,101,[ 29 121 101],765.0
77,27,118,99,[ 27 118  99],762.0
78,29,118,97,[ 29 118  97],765.0
79,33,119,99,[ 33 119  99],759.0
80,27,109,90,[ 27 109  90],775.0
81,28,108,89,[ 28 108  89],776.0
82,23,103,85,[ 23 103  85],769.0
83,29,109,91,[ 29 109  91],769.0
84,29,109,89,[ 29 109  89],769.0
85,36,115,95,[ 36 115  95],761.0
86,38,120,100,[ 38 120 100],764.0
87,34,119,98,[ 34 119  98],768.0
88,37,120,100,[ 37 120 100],760.0
89,36,119,99,[ 36 119  99],766.0
90,33,117,96,[ 33 117  96],771.0
91,33,117,95,[ 33 117  95],755.0
92,32,116,94,[ 32 116  94],773.0
93,33,116,95,[ 33 116  95],763.0
94,34,115,96,[ 34 115  96],697.0
95,31,113,97,[ 31 113  97],751.0
96,27,109,97,[ 27 109  97],697.0
97,17,67,65,[17 67 65],697.0
98,16,81,72,[16 81 72],764.0
99,26,98,87,[26 98 87],697.0
100,28,99,88,[28 99 88],746.0
101,22,85,78,[22 85 78],783.0
102,29,76,77,[29 76 77],697.0
103,26,60,61,[26 60 61],773.0
104,15,60,50,[15 60 50],776.0
105,24,89,73,[24 89 73],764.0
106,29,103,85,[ 29 103  85],772.0
107,35,115,95,[ 35 115  95],755.0
108,37,120,99,[ 37 120  99],764.0
109,39,125,105,[ 39 125 105],767.0
110,37,126,106,[ 37 126 106],769.0
111,41,132,108,[ 41 132 108],755.0
112,45,133,112,[ 45 133 112],767.0
113,43,131,109,[ 43 131 109],773.0
114,47,134,111,[ 47 134 111],765.0
115,36,124,104,[ 36 124 104],768.0
116,41,127,105,[ 41 127 105],775.0
117,40,127,106,[ 40 127 106],773.0
118,44,130,111,[ 44 130 111],761.0
119,38,127,103,[ 38 127 103],779.0
120,33,124,100,[ 33 124 100],766.0
121,33,123,101,[ 33 123 101],778.0
122,33,124,103,[ 33 124 103],774.0
123,34,125,104,[ 34 125 104],766.0
124,33,124,104,[ 33 124 104],774.0
125,35,126,106,[ 35 126 106],760.0
